country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
New Zealand,7326.58834952041,7388.32723487971,7336.13881214683,7495.32910664526,7768.4564544589,7961.71323528806,8041.91720217759,8202.51468567649,8032.43338060887,8071.72726637944,8429.2163392427,8651.6967746452,8852.69769975615,9074.80536352527,9116.33612246547,9221.80129766319,9150.64047721487,8735.59005370899,8562.96327758457,8498.47983808188,8638.06714757371,8808.47652328659,9007.08511320006,9003.28729897108,9065.96488457113
Norway,4200.88799506625,4043.87719358935,3505.71263797904,3709.22978640157,3782.43502763893,3812.83475899116,3829.40103564342,3820.34678663926,3905.74516569602,4133.38724194164,3928.86426278429,3856.44295079183,4094.81605934683,3955.04642490128,4093.13028670936,4161.72306052617,3830.66788058937,3666.86553938301,3221.34777760348,2650.25392278059,2567.69234912913,2557.33479104071,2574.89762243645,2537.98859746485,2530.79307976937
Poland,27007.524867479,22544.706831355,20994.4604290014,21979.8360828494,21854.741084692,22833.3090979169,22977.6748655972,22871.9241656837,22618.2561376705,21901.5840128999,22271.8338908563,22430.6792882544,21318.7063987095,21543.1577893007,22060.3628108664,22228.4734121288,22746.1698317613,23550.4552959159,23001.0091549207,19874.6441054399,19571.1946083641,19924.8402870562,20019.9495803623,20140.1894467855,19746.4241281078
Portugal,3989.64751345284,3964.80879849084,3941.08489815327,3921.57470054113,3966.30261279031,4155.40685689607,4382.93829367037,4383.9684049824,4354.33440942864,4436.60817501299,4409.52691041788,4247.50361496866,4301.61007299425,3950.55419014144,4117.79191596473,3971.17440303175,3832.74846782682,4015.59465743918,3889.9242280114,3554.79082697767,3557.74785534388,3289.28022658172,3288.15029272676,3340.18692695386,3409.62400934855
Romania,15496.6567854678,11034.7365410325,10757.2248670157,11438.4210210271,10704.2644609703,11359.7482166044,10916.3428436608,10529.2053253052,9339.91235496597,8879.86478887155,9343.81071400135,9237.23183051083,8538.49930900853,9227.78096748403,10507.3426599539,10333.0575152435,9202.29729004353,9186.64981314088,7977.25333142211,7310.85975392882,7526.23486910661,7844.4840008974,7138.0604970156,7296.70629926774,7033.44187377962
Russian Federation,183239.558098725,175740.256148132,151404.310476502,129170.885233433,116051.660024745,115186.706382254,109396.237302039,101973.721975766,106113.074634081,100582.618903202,98853.7534472518,94903.7659042362,94511.3920356638,93531.8409541245,92492.5413015098,89955.4194623921,90062.7308603463,90272.1744880892,88292.291111172,89567.1533433811,94899.4081306796,90299.5012365659,94665.8340233052,89940.2264159072,90157.2301603383
Slovakia,4997.73829414391,3999.47283837756,3382.9976726304,2886.05389372195,3255.22420980715,3439.83507734675,3603.42403169771,3523.19657006017,3184.01772105759,2770.59394396515,3022.04612936188,3159.28067201745,3135.48858194719,3170.98633400458,3306.26660395665,3240.76655488675,3515.89052371799,3413.50348514705,3284.418364156,2973.50922684502,2815.09250730482,2371.88871523254,2322.23783071163,2274.1499941858,2335.55044444234
Slovenia,839.364407323638,780.830850060121,832.943765967181,808.921812163705,866.213251925464,928.479438798268,981.350714578134,1004.70619107469,990.858340931983,985.867185605085,1012.1450976409,996.858467963867,887.577090324771,853.009458197472,821.698667128823,830.555036138188,836.957234984499,839.3093553947,793.097752782136,789.16356484879,775.916109253385,779.046564477068,781.002250751342,751.64129298851,758.844818434183
Spain,16602.6573419206,16218.4635960317,15529.6591967842,14526.190160577,16044.9607927066,16057.0766978868,17900.4233426578,17415.7679452607,18135.4065118171,18949.3246536722,19684.7301955742,18524.9470457608,17941.1763345123,18787.9206518089,17983.46825657,17128.6911884712,17328.9520947868,17598.5315520104,15970.8819996413,15794.3236791019,16311.8322205672,15482.3337034241,15039.6140337311,15629.72716943,16499.6285401933
Sweden,5840.75421505545,5746.49325217361,5557.16625731658,5830.18631295827,5813.49970349013,6148.12507237434,5793.82868347548,6006.20029664723,5897.17858065595,5909.74894225485,5918.66535953585,5301.23271290333,5459.52220245142,5526.46921149031,5178.17695601949,5222.35492167454,5457.39675984009,4893.0005505437,5042.7696788896,4890.33565819225,5053.50648604708,5106.57964341753,4640.92749206534,4831.67652917797,4884.1295459176
Switzerland,2852.38191614305,2845.87650413461,2814.4517963358,2748.11853051467,2718.07910331753,2703.57463993662,2699.74085840686,2604.87939456496,2600.53893055229,2564.81485271727,2561.19625361253,2577.45479468524,2554.43047748213,2507.09738954901,2466.2467937676,2458.51478417272,2457.9546072964,2483.6738042647,2508.84417902805,2474.37345859442,2524.07745003776,2473.19852272528,2461.36323964767,2425.57288218188,2452.84949184313
Turkey,16509.556832399,16096.6004230335,16784.4157720553,17842.7146185912,15275.7660552847,15753.1820234927,16720.6012107675,16932.2860233069,18699.0901758212,18901.0710520283,18425.07589079,16167.4769157262,17074.6520440149,17727.1085441596,18581.6718379056,18983.9638743038,20235.4954904051,19094.9833270339,17303.5429175344,19676.21924584,19620.8926523798,19525.8829179841,21116.024161751,23210.8198928928,23282.7086735293
Ukraine,55370.6464880769,50452.2474149041,47202.1730832462,44318.9838082892,38303.1179607991,35441.4642766932,30733.5960750165,31276.3396938599,27209.7053339003,25236.4015179279,23882.9278499039,26207.4062180618,26117.1090953661,22992.9278289747,25582.4005362556,25551.9712147291,25843.8339575055,25013.6911041316,30113.6714330642,27242.4765114103,27932.3022117132,33679.8495461359,32120.1900686189,36186.9397478675,35593.6514959441
United Kingdom,48778.6072992288,48970.20797471,44530.6465906768,40434.659968833,40712.4165016133,39375.0314234218,39088.8145912308,39228.8361032313,39255.2488547047,29354.6780165537,29046.5810460173,27504.5774206487,25713.4574982157,25481.894253248,26133.0607027417,25147.506206399,24281.1772047649,24065.9985646217,23498.438215654,21832.3157507541,22186.5355473653,21105.7667727239,20963.789246548,21072.6912470736,21645.8969237383
United States of America,406228.526625645,396113.656867143,404052.107073036,420503.190939675,402478.930460366,420585.748575647,428923.512030529,412317.983332985,433872.649154321,401147.407632087,401400.224007895,399324.424487961,400917.901725168,401775.306209104,428554.171577754,397551.720143459,410066.190856612,418985.162536219,396777.08976209,399500.487260924,410314.239467985,416521.779163033,409285.583751925,403349.746652267,403501.457115005
