Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
China,4456.11,4459.43,4470.89,4459.13,4342.26,4234.45,4130.67,3954.33,3785.89,3609.53,3432.91,3234.19,3077.85,2899.3,2862.14,2807.36,2804.51,2803.87,2807.7,2781.96,2732.79,2652.43,2734.94,2644.3,2556.13,2503.44,2481.3,2451.11,2408.49
Colombia,247.96,240.99,233.42,231.44,228.8,227.34,226.02,231.08,237.39,230.78,227.92,224.26,216.7,213.75,212.59,208.1,202.88,200.45,196.72,193.35,197.38,194.82,194.6,191.44,189.97,186.48,183.05,179.85,179.64
Comoros,0.85,0.85,0.87,0.84,0.81,0.8,0.78,0.75,0.7,0.67,0.64,0.58,0.64,0.62,0.58,0.58,0.59,0.58,0.53,0.59,0.59,0.59,0.56,0.56,0.56,0.54,0.52,0.51,0.51
Cook Islands,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03
Costa Rica,14.85,15.02,14.89,14.37,14.18,14.14,13.9,14.03,13.67,13.51,13.28,12.8,12.13,12.17,11.79,11.95,12.09,12.26,12.45,12.37,12.43,12.0,11.83,11.87,12.74,13.51,13.37,13.34,13.26
Croatia,12.03,11.86,11.81,11.76,11.43,11.49,11.82,12.04,12.04,12.09,11.89,12.01,11.89,11.55,11.6,11.19,10.81,10.76,10.51,10.79,10.76,10.82,10.91,11.04,11.28,11.76,11.88,12.78,13.18
Cuba,40.32,40.04,41.16,40.6,42.07,42.32,42.24,42.4,41.46,41.86,39.89,39.05,38.83,37.95,39.41,40.32,39.61,39.09,39.56,39.54,40.42,40.26,40.3,36.37,34.87,33.95,36.87,37.28,38.4
Cyprus,2.24,2.21,2.18,2.12,2.12,2.09,2.09,2.08,2.08,2.06,2.06,2.03,2.03,2.03,2.03,2.04,2.07,2.0,1.94,1.88,1.86,1.83,1.81,1.78,1.75,1.69,1.66,1.63,1.6
Czech Republic,42.19,42.17,42.17,43.36,43.43,43.73,46.99,47.68,47.79,47.07,48.41,48.18,49.96,49.03,47.53,49.04,49.38,51.54,52.71,56.05,59.63,62.47,63.9,64.57,66.43,70.6,73.83,79.1,84.95
Côte d'Ivoire,20.98,20.87,21.94,19.98,19.63,20.85,20.07,24.37,28.66,33.59,38.61,44.04,48.58,53.75,56.13,62.84,67.72,71.57,76.26,77.81,79.42,80.39,81.51,83.82,85.11,66.74,49.03,30.86,12.63
Democratic Republic of the Congo,147.59,151.53,149.3,147.72,140.76,139.4,133.54,131.71,130.13,126.02,124.86,118.85,125.92,122.12,121.85,117.47,109.39,94.72,113.91,118.13,129.79,127.53,118.36,115.13,114.9,113.26,111.71,109.68,108.22
Denmark,21.78,21.64,21.88,21.9,22.0,22.45,22.88,23.45,24.03,23.34,24.12,24.84,24.86,25.26,25.88,26.54,26.83,27.62,26.85,27.18,27.75,27.75,28.06,27.83,27.47,27.84,27.37,27.38,26.96
Djibouti,2.1,2.07,2.07,2.07,2.06,2.06,2.06,2.05,2.02,2.02,2.02,2.01,1.99,2.02,1.99,1.96,1.96,1.95,1.93,1.91,1.8,1.76,1.72,1.65,1.51,1.46,1.43,1.43,1.4
Dominica,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.18,0.21,0.23,0.26,0.29,0.29,0.29,0.29,0.29
Dominican Republic,28.09,27.78,27.43,27.19,27.14,27.02,26.86,26.83,26.64,26.17,25.26,24.63,22.53,22.27,22.79,21.32,21.55,20.95,20.03,20.51,21.8,22.43,23.02,23.26,23.92,22.93,21.08,20.62,18.66
Ecuador,61.71,62.74,62.19,61.78,63.18,65.89,65.27,64.75,64.69,63.78,61.16,60.62,60.98,59.81,59.87,57.19,56.38,54.33,51.07,54.63,53.61,55.86,53.99,52.71,51.85,50.04,47.93,44.77,44.28
Egypt,184.48,182.03,182.84,180.65,181.8,181.4,182.6,180.06,175.66,175.47,178.52,174.96,169.93,165.18,164.46,162.74,161.69,157.38,157.66,149.87,139.16,135.42,126.89,119.69,112.82,105.67,98.45,90.45,81.88
El Salvador,12.5,12.52,12.64,13.03,13.08,12.4,13.38,12.88,13.79,14.18,14.42,14.24,13.91,13.59,13.48,13.32,13.49,12.97,12.12,12.38,11.87,12.24,12.61,11.74,12.22,11.71,11.72,11.4,11.01
Equatorial Guinea,48.68,50.71,52.75,54.79,56.68,58.57,60.46,62.37,64.26,65.26,66.24,67.23,68.24,69.21,61.65,54.08,46.5,38.93,31.35,25.35,19.36,13.36,7.37,1.37,1.18,0.98,0.78,0.6,0.39
Eritrea,11.38,11.3,11.26,11.09,11.01,10.95,10.81,10.7,10.26,10.56,10.57,10.57,10.0,10.34,10.31,10.28,10.1,10.28,10.99,10.79,10.46,9.97,8.84,7.95,7.7,7.24,8.16,7.71,7.39
